sentence,length
abakwane̩,9
o̩jo̩ nyi e̩wñ,14
e̩gba abakwane̩ ejodudu o̩jo̩ nyi efojale kpai ane̩ile̩,55
ane̩ile̩i la de̩ juguu te̩ ofofo oñ e̩chubi beju o̩lulu le̩ ma afu o̩jo̩ la teju omi ale bebebe,95
oñ o̩jo̩ kakini ugane̩ ki do̩mo̩ tak ugane̩ do̩mo̩,50
o̩jo̩ la fugane̩ le̩ li ki nyo̩ tak o̩jo̩ fugane̩ daru be̩chubi te̩,67
o̩jo̩ la do̩ ugane̩ le̩ ko̩ o̩ro̩ka e̩chubi i la do̩ ko̩ odu oñ ane̩ do̩mo̩ odudu la do̩mo̩ o̩jo̩ ejodudu,105
tak o̩jo̩ kakini agbagba ki te̩ alumeji omi le̩ ki fomiofo daru bomiofo te̩,75
oñ o̩jo̩ fagbagba che te̩ i la fomiofo eki do̩gane̩ agbagba le̩ daru bomiofo eki date̩ agbagba le̩ te̩ abe̩le̩ i la de̩,119
tak o̩jo̩ do̩ agbagba le̩ ko̩ efojale oñ ane̩ do̩mo̩ odudu la do̩mo̩ o̩jo̩ ekeji,80
tak o̩jo̩ kakini omiofo o̩gane̩ efojale ki najeju jugbo okate ke ane̩ e̩gbe̩ ki kwotejugede abe̩le̩ i la de̩,108
oñ o̩jo̩ do̩ ane̩ e̩gbe̩ le̩ ko̩ ane̩ile̩ ujeju omi i la do̩ ko̩ ohimini abadi o̩jo̩ la li ki nyo̩,98
tak o̩jo̩ kakini ane̩ile̩i ki lu ije̩ kpai eñmi ki aro uluwñ kpai oli ki aro e̩go̩ uche̩ o̩lawñ eke̩yo̩wñ def uwñ ane̩ile̩ abe̩le̩ i la de̩,139
tak ane̩ile̩ lu ije̩ owñ cheñmi ki aro ulu e̩go̩ uche̩ o̩lawñ kpai oli ki aro ke̩yo̩ def e̩rowñ e̩go̩ uche̩ o̩lawñ o̩jo̩ la li ki nyo̩,134
oñ ane̩ do̩mo̩ odudu la do̩mo̩ o̩jo̩ e̩ke̩ta,44
tak o̩jo̩ kakini e̩mu ki jagbagba efojale ki fo̩ro̩ka daru bodu te̩ i ki la jo̩mo̩ todu ujiwe kpai adiko o̩lo̩ji kpai uwo kpai o̩jo̩ ki añwa kpai o̩do̩ o̩do̩,157
i ki jo̩mo̩ ki che̩mu agbagba efojale ki mane̩ ne̩ ile̩i abe̩le̩ i la de̩,73
abe̩le̩ o̩jo̩ fe̩mu elile meji le̩ che e̩mu eki tule ki no̩da o̩ro̩ka e̩mu eki nya ki no̩da odu kpai ilawo ge̩,110
o̩jo̩ la mu kojo̩ agbagba efojale ki mane̩ ne̩ ile̩i,52
ki ño̩ no̩da o̩ro̩ka kpai odu ki la fugane̩ daru be̩chubi te̩ o̩jo̩ la li ki nyo̩,81
oñ ane̩ do̩mo̩ odudu la do̩mo̩ o̩jo̩ e̩ke̩le̩,45
tak o̩jo̩ kakini ef omi ki ko̩ ñw amonugo e̩wñ iñmi ke ame̩we̩ ki nawu ate̩ ane̩ile̩ ef agbagba ki che̩chi te̩ efojale,118
abe̩le̩ o̩jo̩ nyi ame̩la lile ki jef omi kpai onugo e̩wñ iñmi du ki achiche̩ eki che̩ko̩ ef omi uche̩ uche̩ma kpai e̩we̩ du ki nika uche̩ uche̩wñ o̩jo̩ la li ki nyo̩,165
tak o̩jo̩ de̩nyo̩ ñw uma kakini ame̩ ki rabi ku me̩ wewe nyo̩gba ku me̩ che̩ko̩ ef omi ohimini abadi ame̩we̩ ki nawewe nyo̩gba ane̩ile̩,135
oñ ane̩ do̩mo̩ odudu la do̩mo̩ o̩jo̩ e̩ke̩lu,44
tak o̩jo̩ kakini ile̩ ki nakamonugo e̩wñ iñmi dufu uche̩ uche̩ma ame̩la abe̩re̩me̩le̩ kpai ame̩wñ ki afa kpai ame̩wñ iñmi ane̩ile̩ uche̩ uche̩ma abe̩le̩ i la de̩,161
tak o̩jo̩ che ame̩wñ iñmi ane̩ile̩i uche̩ uche̩ma kpai ame̩la abe̩re̩me̩le̩ uche̩ uche̩ma kpai ame̩wñ du ki afa ane̩pe̩te̩ uche̩ uche̩ma o̩jo̩ la li ki nyo̩,156
tak o̩jo̩ kakini awa ki che one̩ rojibowa ku ma bi awa onugo ama ki la no̩da ame̩ja ki jef ohimini abadi kpai ame̩we̩ ojale kpai ame̩la abe̩re̩me̩le̩ kpai ane̩ile̩ du kpai e̩wñ du ki afa eki afa ane̩ile̩i,204
abe̩le̩ o̩jo̩ fone̩ nyi ojibowñ onugo e̩go̩ ojibo o̩jo̩ oñ i nyi e̩ne̩ke̩le̩ kpai onobule̩ oñ i nyi ma,102
tak o̩jo̩ de̩nyo̩ ñw uma o̩jo̩ la ka ñw uma kakini ame̩ ki bi o̩ma ku me̩ ki wewe nyo̩gba ku me̩ che̩ko̩ ane̩ile̩i ku me̩ fu dolo te̩ ame̩ ki la no̩da ame̩ja ef ohimini kpai ame̩we̩ ojale kpai ame̩wñ iñmi du ki achiche̩ ane̩ile̩i,229
tak o̩jo̩ kakini go omi meñmi kwe̩ kwe̩ kwe̩ du ki aro uluwñ ko ñw ume̩ edu ki bane̩ile̩ ma kpai oli du ke̩rowñ ne̩yo̩ efu ele̩ achuje̩wñ ñw ame̩,145
kpai ame̩wñ iñmi ane̩ile̩ okoke du kpai ame̩we̩ ojale okoke du kpai ame̩wñ du ki afa ane̩ile̩i edu konugo eiñmi def uwñ e̩wñ eñmi emimi kwe̩ kwe̩ kwe̩ du chutodu uje̩wñ abe̩le̩ i la de̩,185
o̩jo̩ la fe̩wñ du ki che li me̩ la go i nyo̩ tabale oñ ane̩ do̩mo̩ odudu la do̩mo̩ o̩jo̩ e̩ke̩fa,96
abe̩le̩ efojale kpai ane̩ile̩ foji ne̩ kpa kpai uwewe ame̩wñma du,65
oñ o̩jo̩ ekebie̩wñ uko̩lo̩ ko̩jo̩ che le̩ takpa tak o̩jo̩ ekebie le̩ i ñmi uko̩lo̩wñ du ki che,94
tak o̩jo̩ de̩nyo̩ ñw o̩jo̩ ekebie le̩ i la cho ki fo̩ todabu ki cho̩jo̩ ki ñmi uko̩lo̩wñ du eko̩jo̩ nyi kpai eki che,116
ade̩m kpai if ef uche̩ ide̩n,28
inabali efojale kpai ane̩ile̩i e̩gba ku ma nyi ma o̩jo̩ ki jihofa o̩jo̩ che ane̩ile̩ kpai efojale le̩ de̩,105
e̩gbale̩ e̩wñ emimi oko du dane̩ile̩i ta n e̩wñ eñmi kwe̩ kwe̩ kwe̩ oko du la tiga ta n— todabu ki jihofa o̩jo̩ ma che komi ki lo̩ bane̩ile̩ ma ta n e̩ne̩ du la do̩mo̩ ki aluche̩ ane̩ n,185
chai eli chi kwane̩ ane̩ile̩ oñ i chi omi beju ane̩ du ma—,58
taku jihofa o̩jo̩ nebutu fone̩ bo̩ oñ i ñmiñmi afu eiñmi nyiñmo̩wñ oñ one̩ mud onugo one̩ ki niñmi,98
taku jihofa o̩jo̩ fe̩wñ gbe̩ ef uche̩ ide̩n o̩wo̩ oloduduwñ o̩mo̩ i la du one̩ ki bo̩ le̩ te̩,93
jihofa o̩jo̩ la che koli du ki fe̩reju kpai eki nyo̩ todu uje̩wñ ki tiga kwef ane̩ kpai oli eiñmi alumeji uche̩ le̩ ge̩ kpai oli umae̩wñe̩nyo̩kpaie̩bie̩ne̩,155
ohiminika la cha kwef ide̩n ki chomi ruche̩ le̩ akwo̩mo̩ i la mukpe̩ akanaba me̩le̩,83
odu eejodudu ko̩ piso̩n owñ cheki le ane̩ hafila du ugbo ko̩jamalia de̩ le̩ daka,80
o̩jamalia ane̩ le̩ la chenyo̩ o̩mo̩ okuta de̩lium kpai o̩niks de̩,65
odu ohimini ekeji la ko̩ giho̩n ele̩ cheki ale ane̩ kush du daka,64
odu ohimini e̩ke̩ta la ko̩ hide̩ke̩l ele̩ cheki a cha lo̩wo̩ olodudu asiria le̩ oñ ohimini e̩ke̩le̩ che yufretis,112
